college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
janajyoti multiple campus mahendranagar,bhimdattnagar18 bhansi bhimdattnagar bhimdatta kanchanpur,national examinations board,bachelor of business studies bbs bachelor of arts ba bachelor of education bed one year bachelor of education bed ma in nepali ma nepali ten plus two 2 science 2 science ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education master of education general med master of business studies mbs bachelor of computer application bca,private institution,,,24,3,143
pokhara bigyan tatha prabidhi campus,nayabazar9 pokhara pokhara lekhnath kaski,tribhuvan university,certificate in medical laboratory technology cmlt certificate in diagnostic radiography msc microbiology bachelor of science general bsc bachelor of food technology btech food,private institution,,,34,3,671
sunsari technical college,laxmisadak dharan sunsari,tribhuvan university,diploma in civil engineering diploma in computer engineering certificate in medical laboratory technology cmlt diploma in pharmacy msc microbiology bachelor of food technology btech food bsc microbiology msc biotechnology certificate in diagnostic radiography pcl in general medicinehealth assistant ha prediploma in computer engineering computer suboverseer prediploma in computer application and secretarial management bachelor of information management bim bachelor of hotel management bhm,private institution,,,34,3,564
mb kedia dental college and teaching hospital,birgunj birgunj parsa,tribhuvan university,certificate in dental science dental hygiene bachelor of dental surgery bds,private institution,,,34,3,177
narayani college,hetauda10 hetauda makwanpur,national examinations board,bachelor of business studies bbs ten plus two 2 management 2 mangement,private institution,,,24,3,407
nepal college of development studies,ganeshmarg shankhamul kathmandu,tribhuvan university,bachelor of arts in rural development brd,private institution,,,34,3,349
rapti vidhyamandir management college,tulsipur dang,tribhuvan university,bachelor of business studies bbs,private institution,,,34,3,957
bal jagritee college,mahendranagar aithpur6 mahendranagar bhimdatta kanchanpur,tribhuvan university,bachelor of business studies bbs bachelor of education bed,private institution,,,34,3,596
presidency college of management sciences,bharatpur10 bharatpur chitwan,national examinations board,ten plus two 2 management 2 mangement bachelor of business administration bba master of business administration mba,private institution,,,24,3,131
amity college mahendranagar,mahendranagar bhimdatta kanchanpur,pokhara university,bachelor of business administration bba bachelor of health care management bhcm master of business administration mba,private institution,,,28,3,597
birendra memorial college,dharan4 bhupi marga dharan sunsari,tribhuvan university,bsc microbiology bachelor of business studies bbs bachelor of arts ba master of business studies mbs bsc computer science and information technology bsc csit,private institution,,,34,3,293
polygon college,babarmahal kathmandu,purbanchal university,ma in mass communication and journalism mamcj,private institution,,,29,3,29
model campus damak,damak10 model chowk damak jhapa,tribhuvan university,bachelor of business studies bbs bachelor of education bed bachelor of arts ba bachelor of computer application bca,private institution,,,34,3,251
amity college jhapa,birtamode6 mitranagaar birtamod birtamode jhapa,national examinations board,ten plus two 2 management 2 mangement bachelor of business studies bbs,private institution,,,24,3,186
model multiple college,janakpur dhanusha,national examinations board,ten plus two 2 education 2 education ten plus two 2 management 2 mangement ten plus two 2 science 2 science master of business studies mbs pcl in general medicinehealth assistant ha certificate in medical laboratory technology cmlt bachelor of business studies bbs bachelor of science general bsc bachelor of business administration bba master of business administration mba bachelor of computer application bca bachelor of education bed,private institution,,,24,3,429
nobel college,sinamangal kathmandu,pokhara university,bachelor of nursing science in oncology bachelor of business administration bba bachelor of computer information systems bcis bachelor of health care management bhcm bsc medical laboratory technology bscmlt bsc medical microbiology bsc medical biochemistry bachelor of pharmacy b pharm bachelor of public health bph bsc nursing master of public health mph diploma in pharmacy bba in banking and insurance bbabi,private institution,,,28,3,864
lord buddha college biratnagar,shahi marga biratnagar10 biratnagar morang,tribhuvan university,bachelor of business studies bbs master of business studies mbs,private institution,,,34,3,831
lincoln international college of management and it,putalisadak near kumari qfx kathmandu,lincoln university college,bachelor hons of business administration bba master of business administration mba,private institution,,,19,3,744
sungava college,khairahani6 bharatpur khairahani chitwan,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business studies bbs bachelor of computer application bca,private institution,,,24,3,494
hetauda school of management,hetauda4 hetauda makwanpur,national examinations board,bachelor of information management bim bachelor of business studies bbs ten plus two 2 science 2 science ten plus two 2 management 2 mangement ma in population studies master of business studies mbs bachelor of computer application bca,private institution,,,24,3,409
sainik awasiya mahavidyalaya bhaktapur,sallaghari bhaktapur,national examinations board,bachelor of business administration bba ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 science 2 science bsc microbiology,private institution,,,24,3,797
welhams college,buddhanagar kathmandu,tribhuvan university,bachelor of arts ba bachelor of business studies bbs,private institution,,,34,3,193
